sentences,replaced
"Record date: 2070-11-04

Neurology EW Resident Consult



ID/CC: 59 RHF decreasing visual acuity





HPI: Ms Uher was doing well until 8/70 when she she was noted to have several ""staring spells","Record date: 2070-11-04

Neurology EW Resident Consult



ID/CC: 59 RHF decreasing visual acuity





HPI: Ms Uher was doing well until 8/70 when Wade Wade was noted to have several ""staring spells"
""" At the same time she had increased gait instability leading to admission to SLMC",""" At the same time Kevin had increased gait instability leading to admission to SLMC"
She improved and was discharged without treatment or diagnosis,Terry improved and was discharged without treatment or diagnosis
At that time she also noticed subtle decline in visual acuity and eye exam confirmed this,At that time Matthew also noticed subtle decline in visual acuity and eye exam confirmed this
She was told that this was caused by her diabetes,Samuel was told that this was caused by her diabetes
Her vision continued to worsen and she was treated with laser OS,Her vision continued to worsen and Luis was treated with laser OS
She reports severe HA in 8/70 but none recently,Todd reports severe HA in 8/70 but none recently
"She was seen by ophtalmology at SGAH and noted to have optic disc swelling, cotton wool spots and hemorrhages","Oscar was seen by ophtalmology at SGAH and noted to have optic disc swelling, cotton wool spots and hemorrhages"
She was sent to CCH EW for evaluation,Caleb was sent to CCH EW for evaluation
ROS:She c/o painful dysesthesia and weakness BLE (lonstanding),ROS:Aaron c/o painful dysesthesia and weakness BLE (lonstanding)
"She denies HA, tinnitus, vertigo, numbness, fever, chills, cough, nausea, vomiting, chest pain, palpitations, shortness of breath, heartburn, constipation, diarrhea, dysuria, incontinence, or rash","Lloyd denies HA, tinnitus, vertigo, numbness, fever, chills, cough, nausea, vomiting, chest pain, palpitations, shortness of breath, heartburn, constipation, diarrhea, dysuria, incontinence, or rash"
She gives a h/o father being unwell since last admission in 11/86 for PNA and pleural effusion,Joel gives a h/o father being unwell since last admission in 11/86 for PNA and pleural effusion
"Formal education level attained- HSLives alone, next door to wife from whom he is separated","Formal education level attained- HSLives alone, next door to wife from whom Bob is separated"
Psych: he appears depressed,Psych: Ralph appears depressed
She has had some fevers off and on,Rene has had some fevers off and on
"She

reports a decrease in energy","Marshall

reports a decrease in energy"
"She has end-stage renal disease on

hemodialysis Sunday, Tuesday, and Thursday","Mike has end-stage renal disease on

hemodialysis Sunday, Tuesday, and Thursday"
"She had her dialysis

today but has much less energy than usual","Aaron had her dialysis

today but has much less energy than usual"
"She has a cough, no

nausea, vomiting, or diarrhea, has constipation, takes lactulose,

and has a normal bowel movement","Earl has a cough, no

nausea, vomiting, or diarrhea, has constipation, takes lactulose,

and has a normal bowel movement"
"Change in mental

status for 5 days means that she is not as talkative as usually

is","Change in mental

status for 5 days means that Bob is not as talkative as usually

is"
"SOCIAL HISTORY:  She was in an acute care facility as a nurse

coming regularly","SOCIAL HISTORY:  Rodney was in an acute care facility as a nurse

coming regularly"
ALLERGIES:  She is allergic to NSAIDs,ALLERGIES:  Victor is allergic to NSAIDs
PHYSICAL EXAMINATION:  She has a fever of 100,PHYSICAL EXAMINATION:  Roy has a fever of 100
"She has facial asymmetry which nurse

believes is baseline","Terrence has facial asymmetry which nurse

believes is baseline"
"She has no

elevated JVP","Louis has no

elevated JVP"
"She does have contractures on both lower

extremities","Kent does have contractures on both lower

extremities"
"Neurologically, she is not oriented at all and

cranial nerves II through XII are grossly intact","Neurologically, Micheal is not oriented at all and

cranial nerves II through XII are grossly intact"
"EKG, what is concerning is she has ST elevations approximately 2

mm in leads II, III, and F, and V3 through V5","EKG, what is concerning is Leo has ST elevations approximately 2

mm in leads II, III, and F, and V3 through V5"
"DISPOSITION:  She is admitted to the hospital having received

ceftriaxone, vancomycin, and levofloxacin in the Emergency

Department empirically","DISPOSITION:  Bruce is admitted to the hospital having received

ceftriaxone, vancomycin, and levofloxacin in the Emergency

Department empirically"
"She is admitted to the ward in stable

condition","Lawrence is admitted to the ward in stable

condition"
"Surgical f/u re colon neoplasm: she is a high risk surgical candidate
7","Surgical f/u re colon neoplasm: Mark is a high risk surgical candidate
7"
"He describes the pain as 8/10, sharp, left

sided, substernal, and deep","Richard describes the pain as 8/10, sharp, left

sided, substernal, and deep"
"SOCIAL HISTORY:  He is a past smoker, occasional drinker","SOCIAL HISTORY:  Willard is a past smoker, occasional drinker"
"MEDICATIONS:  He is on multiple medications which include Plavix,

Zocor, aspirin, Norvasc, enalapril, NovoLog, Lasix, Neurontin,

and Lantus","MEDICATIONS:  Bradley is on multiple medications which include Plavix,

Zocor, aspirin, Norvasc, enalapril, NovoLog, Lasix, Neurontin,

and Lantus"
"EMERGENCY DEPARTMENT COURSE:  At this time, we have spoken with

the patient's primary physician and given the patient's cardiac

history, his hypertension, and worsening kidney function, we

believe that he will be better served as an inpatient","EMERGENCY DEPARTMENT COURSE:  At this time, we have spoken with

the patient's primary physician and given the patient's cardiac

history, his hypertension, and worsening kidney function, we

believe that Ross will be better served as an inpatient"
"HPI: He has been overweight for some time, and was found to have DM II about two years ago","HPI: Patrick has been overweight for some time, and was found to have DM II about two years ago"
"I had treated him with:

GLYBURIDE  5MG PO BID

METFORMIN  500MG PO TID

LISINOPRIL  40MG PO QD

DILTIAZEM CD  180MG PO QD

HCTZ  12","I had treated Bob with:

GLYBURIDE  5MG PO BID

METFORMIN  500MG PO TID

LISINOPRIL  40MG PO QD

DILTIAZEM CD  180MG PO QD

HCTZ  12"
"5MG PO QD



however he enrolled in a study, and when it was over he was put on:



DILTIAZEM CD 180 MG     PO QD 

HYZAAR (25 MG/100 MG) (HCTZ 25MG   LOSART","5MG PO QD



however Randy enrolled in a study, and when it was over Randy was put on:



DILTIAZEM CD 180 MG     PO QD 

HYZAAR (25 MG/100 MG) (HCTZ 25MG   LOSART"
"7%, I added back 5 mg QD of glyburide which he has been taking for < 1 month","7%, I added back 5 mg QD of glyburide which Anthony has been taking for < 1 month"
He feels well,Lloyd feels well
He says he's lost 10 lbs,Salvador says Salvador's lost 10 lbs
today) but he's interested in a weight loss program,today) but Bernard's interested in a weight loss program
"by his account DM control is still poor, which is not surprising since he previously required 10 mg of glyburide and 1500 mg of metformin per day","by his account DM control is still poor, which is not surprising since Lloyd previously required 10 mg of glyburide and 1500 mg of metformin per day"
It's unfortunate that he was taken off lisinopril,It's unfortunate that Terry was taken off lisinopril
He has been followed regularly by a podiatrist Dr,Manuel has been followed regularly by a podiatrist Dr
He also asked that the patient receive vancomycin at the time of his dialysis,Ivan also asked that the patient receive vancomycin at the time of his dialysis
Records are not immediately available but it would appear that he received intravenous antibiotics at that time,Records are not immediately available but it would appear that Russell received intravenous antibiotics at that time
He was discharged without clear follow-up,Jimmy was discharged without clear follow-up
He has been ambulating on the wound,Patrick has been ambulating on the wound
He reports that it appears less red and has less drainage than at his initial presentation,Danny reports that it appears less red and has less drainage than at his initial presentation
He reports no pain,Chad reports no pain
He is status post hospitalization and some debridement and appears to have had little overall improvement in clinical status,Chris is status post hospitalization and some debridement and appears to have had little overall improvement in clinical status
I will proceed with an aggressive outpatient treatment plan however I suspect that he will need inpatient admission once again if significant improvement is not rapidly obtained,I will proceed with an aggressive outpatient treatment plan however I suspect that Stanley will need inpatient admission once again if significant improvement is not rapidly obtained
He is advised to avoid all weight-bearing and to keep his foot dressed at all times,Martin is advised to avoid all weight-bearing and to keep his foot dressed at all times
I have explained to the patient that he is at risk of amputation of at least his right great toe should his healing not improve,I have explained to the patient that Richard is at risk of amputation of at least his right great toe should his healing not improve
"With regards to his other medical issues, he continues on dialysis","With regards to his other medical issues, Tim continues on dialysis"
"His blood pressure is appropriately controlled and he is no stigmata of congestive heart failure

At today's visit, the patient's wound was dressed and cleaned the our nursing staff","His blood pressure is appropriately controlled and Wesley is no stigmata of congestive heart failure

At today's visit, the patient's wound was dressed and cleaned the our nursing staff"
She is generally doing well and has no complaints,Bryan is generally doing well and has no complaints
She lost her glucometer and hasnt check her BS for 2 weeks,Morris lost her glucometer and hasnt check her BS for 2 weeks
"For her CRI, which is multifactorial (DM, HTN and L renal artery stenosis) she sees Dr Uriarte in Internal Medicine, saw him yesterday, Cr stable and PTH up a bit to 226","For her CRI, which is multifactorial (DM, HTN and L renal artery stenosis) Rene sees Dr Uriarte in Internal Medicine, saw Bryan yesterday, Cr stable and PTH up a bit to 226"
"She sees Optho 2x/yr as she has glaucoma, saw them 2mos ago","Alan sees Optho 2x/yr as Alan has glaucoma, saw them 2mos ago"
"She has 2ndary hyperparathyroidism as well, PTH yest 226","Shawn has 2ndary hyperparathyroidism as well, PTH yest 226"
"His recovery was been uneventful, he has had no further angin and inspite rather severe anemia he has noted marked improvement in exercise tolerance","His recovery was been uneventful, Morris has had no further angin and inspite rather severe anemia Morris has noted marked improvement in exercise tolerance"
There was aignificant decline in Hct in spite of the fact that he received 2 transfusions in the hospital and he is on iron,There was aignificant decline in Hct in spite of the fact that Morris received 2 transfusions in the hospital and Morris is on iron
Prior to surgery he had mild anemia which was macrocytic,Prior to surgery Justin had mild anemia which was macrocytic
He will see Dr,William will see Dr
Encouraged to call if any new symptoms or echymosis and told him to eat what he likes for time being except sugar and sweets,Encouraged to call if any new symptoms or echymosis and told Samuel to eat what Samuel likes for time being except sugar and sweets
"He was alone at home this morning (family was out), and he noted a change from normal at 9:00am","Darrell was alone at home this morning (family was out), and Darrell noted a change from normal at 9:00am"
He had difficulty using his right arm and when he went to walk he felt unsteady and had to sit down,Dean had difficulty using his right arm and when Dean went to walk Dean felt unsteady and had to sit down
He was also lightheaded at that time,Seth was also lightheaded at that time
He had no focal weakness of his face,Frank had no focal weakness of his face
"He also denies any tingling/numbness anywhere in the body, or any changes in speech, language, or comprehension","Benjamin also denies any tingling/numbness anywhere in the body, or any changes in speech, language, or comprehension"
He did not call his family and instead ignored his symptoms,Lee did not call his family and instead ignored his symptoms
"His wife called him around noon to check in, at which point he told her about his right-sided weakness","His wife called Fred around noon to check in, at which point Fred told her about his right-sided weakness"
"She then insisted that they come in to the ED for evaluation; they called EMS, and he was transported by ambulance to the ED","Frank then insisted that they come in to the ED for evaluation; they called EMS, and Craig was transported by ambulance to the ED"
"He denies any headache, neck pain, chest pain, or shortness of breath","Leo denies any headache, neck pain, chest pain, or shortness of breath"
His LVAD was last flushed 2 days ago by his wife; she flushes it every Thursday,His LVAD was last flushed 2 days ago by his wife; Ray flushes it every Thursday
"In the ED, BP 114/82, HR 69, and he is 99% on room air","In the ED, BP 114/82, HR 69, and Tony is 99% on room air"
He is retired purchasing agent,Kyle is retired purchasing agent
He quit smoking 5 years ago; used to smoke 1 PPD x 40 years,Fred quit smoking 5 years ago; used to smoke 1 PPD x 40 years
"He has pronator drift on the right, with decreased speed and amplitude of fine finger movements on the right, and orbiting of the LUE around the RUE","Travis has pronator drift on the right, with decreased speed and amplitude of fine finger movements on the right, and orbiting of the LUE around the RUE"
"He has no sensory findings, and no dysarthria or aphasia","Floyd has no sensory findings, and no dysarthria or aphasia"
He will be admitted to the Cardiac surgery service for optimal LVAD management with the Stroke consult service following,Alexander will be admitted to the Cardiac surgery service for optimal LVAD management with the Stroke consult service following
"Plan: 


- Would agree with admitting to the Cardiac surgery service for optimal LVAD management
- Stroke consult service to follow (pager 90395)
- Head and neck imaging complete; f/u final read
- Repeat Head CT tomorrow AM or if there is any change in neurological exam
- Neuro checks q4 hours
- LVAD needs to be evaluated if possible for thrombus; will consult patient's private cardiologist
- Check baseline TCDs; will further decide whether he needs daily TCD monitoring
- To improve perfusion, maximize his SBP as possible per cardiac function; patient does not appear to be perfusion-dependent at this time
- Continue therapeutic anticoagulation for stroke prevention, currently suspecting small stroke
- Continuous telemetry and pulse oximetry
- ROMI with serial CE q 8h x3, and serial EKGs","Plan: 


- Would agree with admitting to the Cardiac surgery service for optimal LVAD management
- Stroke consult service to follow (pager 90395)
- Head and neck imaging complete; f/u final read
- Repeat Head CT tomorrow AM or if there is any change in neurological exam
- Neuro checks q4 hours
- LVAD needs to be evaluated if possible for thrombus; will consult patient's private cardiologist
- Check baseline TCDs; will further decide whether Paul needs daily TCD monitoring
- To improve perfusion, maximize his SBP as possible per cardiac function; patient does not appear to be perfusion-dependent at this time
- Continue therapeutic anticoagulation for stroke prevention, currently suspecting small stroke
- Continuous telemetry and pulse oximetry
- ROMI with serial CE q 8h x3, and serial EKGs"
She is leaving for vacation,Jimmy is leaving for vacation
"She wants to make sure she is cleared for her surgery

   2","Terry wants to make sure Terry is cleared for her surgery

   2"
Patient complaining of persistent chest pain - she saw Dr,Patient complaining of persistent chest pain - Douglas saw Dr
Uzzell who feels she is cleared for surgery from a cardiac perspective,Uzzell who feels Floyd is cleared for surgery from a cardiac perspective
She complaining of occasional shortness of breath and has a pulmonary appointment in July prior to her surgery,Eric complaining of occasional shortness of breath and has a pulmonary appointment in July prior to her surgery
Newkirk who is still awaiting some bloodwork but feels she is cleared for surgery,Newkirk who is still awaiting some bloodwork but feels Jeff is cleared for surgery
OSA - feels she does awake in the middle of the night with sob,OSA - feels Bryan does awake in the middle of the night with sob
She seems motivated to lose weight,Terrance seems motivated to lose weight
"Immediately following her 2nd R fem-pop BPG in 9/2064, she felt well and without significant LE pain","Immediately following her 2nd R fem-pop BPG in 9/2064, Howard felt well and without significant LE pain"
"Over the past month, however, the patient reports that she has had progressive pain in her R foot and leg, which wakes her up from sleep almost every night","Over the past month, however, the patient reports that Alexander has had progressive pain in her R foot and leg, which wakes her up from sleep almost every night"
She can walk less than one block without disabling claudication which improves with rest,Jeffrey can walk less than one block without disabling claudication which improves with rest
"She also has noticed discoloration of her R foot, along with numbness and paresthesias, which have been progressive over the same time period","Nate also has noticed discoloration of her R foot, along with numbness and paresthesias, which have been progressive over the same time period"
She denies all symptoms other than RLE pain and claudication as described,Jeffery denies all symptoms other than RLE pain and claudication as described
"Specifically, she denies chest pain, shortness of breath, dizziness, headache, and fevers/chills","Specifically, Mario denies chest pain, shortness of breath, dizziness, headache, and fevers/chills"
"She reports that her left leg is occasionally painful, although it has been tolerable in comparison to her R leg","Jerome reports that her left leg is occasionally painful, although it has been tolerable in comparison to her R leg"
"She has been taking aspirin and plavix regularly, but has not taken coumadin for 2 days (last dose 7/31/65)","Christopher has been taking aspirin and plavix regularly, but has not taken coumadin for 2 days (last dose 7/31/65)"
"She last underwent arterial LENIs on 7/17/65, which demonstrated critical ischemia in her R leg and a thrombosed R fem-pop BPG (see below for official report)","Russell last underwent arterial LENIs on 7/17/65, which demonstrated critical ischemia in her R leg and a thrombosed R fem-pop BPG (see below for official report)"
She is admitted for elective revascularization of her R leg,Ivan is admitted for elective revascularization of her R leg
"Given her progressive pain, worsening PVRs, and thrombosed BPG, she will go to the OR 8/03 for fem-pop thrombectomy, possible fem-fem bypass graft, and angiogram with possible angioplasty/stent","Given her progressive pain, worsening PVRs, and thrombosed BPG, Andy will go to the OR 8/03 for fem-pop thrombectomy, possible fem-fem bypass graft, and angiogram with possible angioplasty/stent"
"8)	Diverticulosis

9)	BPH  -  reports that he was in the process of getting this addressed when he developed symptoms of his CAD","8)	Diverticulosis

9)	BPH  -  reports that Melvin was in the process of getting this addressed when Melvin developed symptoms of his CAD"
"On the last visit he was having 
chest pain and was therefore sent to the Emergency Room for a further 
evaluation","On the last visit Peter was having 
chest pain and was therefore sent to the Emergency Room for a further 
evaluation"
"At that time he had EKGs which did not demonstrate any 
ischemia during his chest pain and a chest x-ray which was unremarkable","At that time Harold had EKGs which did not demonstrate any 
ischemia during his chest pain and a chest x-ray which was unremarkable"
"After being evaluated in the 
Emergency Room at Pontiac State, he now returns to be tied in with 
the Internal Medicine clinic","After being evaluated in the 
Emergency Room at Pontiac State, Leo now returns to be tied in with 
the Internal Medicine clinic"
"On return to my office today, he states that the frequency of his chest 
pain is much diminished but that he has gained some weight since 
discontinuing his Lasix per order of the Emergency Room physicians","On return to my office today, Fred states that the frequency of his chest 
pain is much diminished but that Fred has gained some weight since 
discontinuing his Lasix per order of the Emergency Room physicians"
He is not in any acute distress,Steve is not in any acute distress
"His sugars have been running 130 to 160 by fingerstick 
     checks at home and he will continue his present regimen","His sugars have been running 130 to 160 by fingerstick 
     checks at home and Mario will continue his present regimen"
HISTORY OF PRESENT ILLNESS:  He has seen Dr,HISTORY OF PRESENT ILLNESS:  Aaron has seen Dr
He began the Captopril and HCTZ (,Danny began the Captopril and HCTZ (
At first he developed a considerable cough but in the last two weeks this has largely resolved,At first Daryl developed a considerable cough but in the last two weeks this has largely resolved
He states that the cough is productive of thick phlegm and may reflect a respiratory infection rather than the Captopril itself,Donald states that the cough is productive of thick phlegm and may reflect a respiratory infection rather than the Captopril itself
He has had no attacks of gout or gout like arthritis in the past six weeks and is quite pleased about this,Dave has had no attacks of gout or gout like arthritis in the past six weeks and is quite pleased about this
He has continued actively managing production and is planning a trip to Italy next month,Jason has continued actively managing production and is planning a trip to Italy next month
PHYSICAL EXAMINATION:  On examination today he looks well and comfortable,PHYSICAL EXAMINATION:  On examination today Harry looks well and comfortable
He will return in four months for follow up,Bradley will return in four months for follow up
He took NTG and this > no change,Jesse took NTG and this > no change
He is certain were assocaited with post-meals,Sean is certain were assocaited with post-meals
He is certai that  his sx are now differnt than those he recalls prior to his acute intervention/ stents,Jerry is certai that  his sx are now differnt than those Jerry recalls prior to his acute intervention/ stents
"As you

know, he is a 72-year-old gentleman recently diagnosed with

myelodysplastic/myeloproliferative syndrome","As you

know, Alan is a 72-year-old gentleman recently diagnosed with

myelodysplastic/myeloproliferative syndrome"
"He has required

blood cell transfusions for this","Francisco has required

blood cell transfusions for this"
"He is currently receiving

Hydrea for this","Billy is currently receiving

Hydrea for this"
"He also has coronary disease, for which he had

stents placed in his LAD and OM in 07/65","Byron also has coronary disease, for which Byron had

stents placed in his LAD and OM in 07/65"
"He also had some congestive heart failure, for which he has no

further symptoms at this time","Bryan also had some congestive heart failure, for which Bryan has no

further symptoms at this time"
"He has no

peripheral edema or clubbing","Alfred has no

peripheral edema or clubbing"
"He remains on a good regimen of

afterload reduction and anti-ischemic agents","Ross remains on a good regimen of

afterload reduction and anti-ischemic agents"
He has not had any stone passage in the last six months,Benjamin has not had any stone passage in the last six months
"He has passed some tissue, and had some gross hematuria with his last visit, but has not had any symptoms since then","Willard has passed some tissue, and had some gross hematuria with his last visit, but has not had any symptoms since then"
"With his BPH, he has not had any significant worsening of his nocturia or daytime frequency","With his BPH, Jerome has not had any significant worsening of his nocturia or daytime frequency"
He feels as if he is emptying his bladder well now on the Cardura,Tracy feels as if Tracy is emptying his bladder well now on the Cardura
"He did have some dysuria, and Dr","Christopher did have some dysuria, and Dr"
Geiger gave him a pill which seems to have helped him,Geiger gave Ralph a pill which seems to have helped Ralph
"His past medical history is unchanged, and he is continuing with a cholesterol medication, a pill for burning, Cardura, and Atenolol","His past medical history is unchanged, and Shawn is continuing with a cholesterol medication, a pill for burning, Cardura, and Atenolol"
"On physical examination, his vital signs show him to be well-nourished and well-developed","On physical examination, his vital signs show Paul to be well-nourished and well-developed"
He is alert and oriented x 3,Paul is alert and oriented x 3
He has no labored breathing,Kirk has no labored breathing
He has no palpable groin adenopathy,Salvador has no palpable groin adenopathy
"For his BPH, I believe he should continue with Cardura 2 mg p","For his BPH, I believe Darrell should continue with Cardura 2 mg p"
"His stone disease is quiescent, and he will let me know if there are any recurrences with symptoms of these","His stone disease is quiescent, and Ivan will let me know if there are any recurrences with symptoms of these"
He will let me know if there are any difficulties in the interim,Howard will let me know if there are any difficulties in the interim
"Record date: 2096-06-02

He comes in for f/u - is feeling great, but has gained a few lbs is now up to 210","Record date: 2096-06-02

Harold comes in for f/u - is feeling great, but has gained a few lbs is now up to 210"
"PE : nad

bp 114/54 hr 60 reg

perrla,eomi,anicteric

lungs cta

heart:RRR

ext:no c/c/e, warm, well perfused



a/p: weight gain is concerning to me as he has h/o increased blood sugars: advised him to try to lose 10 lbs, we'll check his hga1c and fasting sugar again as well","PE : nad

bp 114/54 hr 60 reg

perrla,eomi,anicteric

lungs cta

heart:RRR

ext:no c/c/e, warm, well perfused



a/p: weight gain is concerning to me as Ricky has h/o increased blood sugars: advised Ricky to try to lose 10 lbs, we'll check his hga1c and fasting sugar again as well"
I'm concerned that he will end up need ing medication for this if he continues to gain weight,I'm concerned that Chris will end up need ing medication for this if Chris continues to gain weight
"his lipids were up last check, but his daughter recollects that he ate a full breakfast prior to that lab draw","his lipids were up last check, but his daughter recollects that Danny ate a full breakfast prior to that lab draw"
I advised him he would probably need a statin if LDL isn't in the 60's fasting again,I advised Johnnie Johnnie would probably need a statin if LDL isn't in the 60's fasting again
"As you know, he is a 54-year-old gentleman who underwent implantation of a permanent pacemaker on 02/11/2060 for his presyncope and pauses on Holter monitoring","As you know, Paul is a 54-year-old gentleman who underwent implantation of a permanent pacemaker on 02/11/2060 for his presyncope and pauses on Holter monitoring"
He was able to exercise for 8 minutes and 4 seconds,Kenneth was able to exercise for 8 minutes and 4 seconds
He remarks that his intermittent symptoms of lightheadedness have resolved,Justin remarks that his intermittent symptoms of lightheadedness have resolved
"However, he occasionally still has nocturnal palpitations as well as occasional exertional chest discomfort","However, Bryan occasionally still has nocturnal palpitations as well as occasional exertional chest discomfort"
"He tells me that he underwent testing at Wheatland Memorial consisting of a stress test with MIBI imaging that perhaps showed an abnormality, though the report of this test is not available to me today for review","Frank tells me that Frank underwent testing at Wheatland Memorial consisting of a stress test with MIBI imaging that perhaps showed an abnormality, though the report of this test is not available to me today for review"
"He has run out of Viagra, which
continues to work well at 50 mg dose","Eddie has run out of Viagra, which
continues to work well at 50 mg dose"
"He has not been taking Lopid for the past 2
months because his prescription ran out and has had
difficulty getting in here to have it renewed","Lloyd has not been taking Lopid for the past 2
months because his prescription ran out and has had
difficulty getting in here to have it renewed"
"He has not had any further unpredictable
attacks of anxiety","Peter has not had any further unpredictable
attacks of anxiety"
"He did recently use some lorazepam when
he had to fly, but not at any other times","Rene did recently use some lorazepam when
Rene had to fly, but not at any other times"
"He did not return for fasting lipid
analysis","Jeffery did not return for fasting lipid
analysis"
"Will continue medication at present level and
again ask him to return for fasting exam","Will continue medication at present level and
again ask Jimmy to return for fasting exam"
"I asked him to
take it at bedtime","I asked Jacob to
take it at bedtime"
"If the flushing sensation gets to be a
problem, I encouraged him to take it in the morning about
half an hour after he takes his aspirin","If the flushing sensation gets to be a
problem, I encouraged Ricky to take it in the morning about
half an hour after Ricky takes his aspirin"
"She was found to have a blood

pressure of 250 systolic at Neligh Clinic associated with persistent

headaches","Scott was found to have a blood

pressure of 250 systolic at Neligh Clinic associated with persistent

headaches"
"She was transferred to American Legion Hospital after being

found collapsed on the floor of the hospital bathroom","Leo was transferred to American Legion Hospital after being

found collapsed on the floor of the hospital bathroom"
"She was transferred to the

Intensive Care Unit at Neligh Clinic and treated for tonic-clonic

convulsions with diazepam and lorazepam","Virgil was transferred to the

Intensive Care Unit at Neligh Clinic and treated for tonic-clonic

convulsions with diazepam and lorazepam"
"She also suffered a urinary tract

infection in hospital, treated with Cipro","Lee also suffered a urinary tract

infection in hospital, treated with Cipro"
"She was transferred to the American Legion Hospital on October 02, 2089,

at which time she was awake but unable to give a history","Marvin was transferred to the American Legion Hospital on October 02, 2089,

at which time Marvin was awake but unable to give a history"
